iso3,country,year,export_usd,lsci,gdp_usd,population,fdi_gdp,reer,official_fx,clmv,asean6,covid,ln_export,ln_lsci,ln_gdp,ln_population,ln_lsci_lag1,data_complete,export_usd_agri,export_usd_mfg,ln_export_agri,ln_export_mfg,lsci_lag1,fx_growth,lsci_quarters,lsci_partial_year
PHL,Philippines,2015,58648377604.0,144.0113575,306445871242.322,105312992.0,1.84018010717942,111.362457840083,45.5028399421431,0,1,0,24.794825749327394,4.969892167993583,26.44830697392827,18.47244735031013,4.9822536520630205,1,4778944687.0,53869432917.0,22.287485582296753,24.70982904670392,145.80259999999998,0.024950597768918392,4,0
PHL,Philippines,2016,56312889212.0,166.45739,318627003016.731,106735719.0,2.59850803494211,108.264468624972,47.4924638585099,0,1,0,24.754189283935922,5.114739360752517,26.48728698606226,18.4858664212642,4.969892167993583,1,4958235207.0,51354654005.0,22.324315709329294,24.66202140222282,144.0113575,0.04372526899192697,4,0
PHL,Philippines,2017,68712897400.0,170.780795,328480736802.76,108119693.0,3.12238778404896,103.345350426906,50.4037197937177,0,1,0,24.95320275363475,5.140380833580465,26.517744033281858,18.49874943993083,5.114739360752517,1,6579504622.0,62133392778.0,22.607225294039214,24.852549407256802,166.45739,0.06129932411763361,4,0
PHL,Philippines,2018,69307425788.0,171.0517425,346841896587.313,109465287.0,2.86833826070497,100.482072003382,52.6614299539683,0,1,0,24.961817891629657,5.141966098451527,26.572134883631268,18.511118043262734,5.140380833580465,1,6144960632.0,63162465156.0,22.53889817343453,24.868976055907844,170.780795,0.044792530580887835,4,0
PHL,Philippines,2019,70926981841.0,173.7821275,376823402239.136,110804683.0,2.30117498598294,105.220947016203,51.7957826517332,0,1,0,24.984916760021466,5.157802373826627,26.65504248557334,18.523279596727264,5.141966098451527,1,6690712953.0,64236268888.0,22.62398627536353,24.885833824076244,171.0517425,-0.016437975630205437,4,0
PHL,Philippines,2020,65214516368.0,159.3172875,361751145451.597,112081264.0,1.88586363211171,111.088860828931,49.6240960026328,0,1,1,24.900947924778574,5.0708977326852045,26.614222368870674,18.53473473758825,5.157802373826627,1,6215695293.0,58998821075.0,22.550343429022604,24.80078329887283,173.7821275,-0.04192786628406575,4,0
PHL,Philippines,2021,74617568026.0,150.6053925,394087359848.11,113100950.0,3.04078855310045,110.985332708214,49.2545977288412,0,1,1,25.035641812758296,5.014663121497654,26.699838447169697,18.543791340697403,5.0708977326852045,1,6797174694.0,67820393332.0,22.639772876613705,24.94012877327321,159.3172875,-0.00744594468324411,4,0
PHL,Philippines,2022,79574105032.0,152.1277975,404353369604.631,113964338.0,2.3475097233369,109.19580079688,54.477785837205,0,1,0,25.099954563202438,5.0247209406209405,26.725555009839525,18.551396132857555,5.014663121497654,1,7525791232.0,72048313800.0,22.741601789163415,25.000602755925854,150.6053925,0.10604468108984966,4,0
PHL,Philippines,2023,73617115492.0,178.998135,437055627245.138,114891199.0,2.04210354820336,112.937718636588,55.630363223193,0,1,0,25.02214338309193,5.187375386792064,26.80332631740801,18.559496142844377,5.0247209406209405,1,6454338404.0,67162777088.0,22.588018362421316,24.930385018628424,152.1277975,0.02115683242766564,4,0
PHL,Philippines,2024,84207135952.0,181.0703825,461671157904.74,115843670.0,2.03571882251572,113.604959905022,57.2906550699734,0,1,0,25.156545504627363,5.198885809273022,26.85811869516594,18.56775216772966,5.187375386792064,1,9121545964.0,74796199197.0,22.933905140263334,25.038032907761494,178.998135,0.029845065726412434,4,0
PHL,Philippines,2025,84544385733.0,184.8690375,487086123720.417,116786962.0,1.59958262597666,112.404419327918,57.5050971489715,0,1,0,25.160542508347692,5.219647668989574,26.911706789815494,18.575861995415348,5.198885809273022,1,9310469717.0,75128172772.0,22.954405379916494,25.042461462147923,181.0703825,0.0037430551062156425,4,0
SGP,Singapore,2010,353242611500.9312,568.11302,239807980591.24,5076732.0,23.0694716770802,99.9999999999999,1.36350833333333,0,1,0,26.59042094251292,6.34232037780072,26.203104359183047,15.44017830545726,,1,7062258609.319991,321270956143.8928,22.67803075362352,26.495550704160994,,,4,0
SGP,Singapore,2011,416202051237.6457,581.0379875,279356499090.458,5183688.0,17.5960314065854,105.289987124903,1.25777587719298,0,1,0,26.75443667938406,6.364816137674952,26.355754577626435,15.461027330017862,6.34232037780072,1,9002467821.860197,375094995818.3513,22.920764579124928,26.650445153018445,568.11302,-0.07754441506189325,4,0
